Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2012-02,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Anti-social behaviour,,
,2012-02,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Anti-social behaviour,,
11593a0d641dc16ca2d7b859642dd87b1ec7c3a7a5a7a03ba5355fb048c5983e,2012-02,City of London Police,City of London Police,-0.113767,51.517372,On or near Stone Buildings,E01000914,Camden 028B,Drugs,,
c931bd2c67812d69219859360f20080fa70b14b578408f310aedd46cd8fc377d,2012-02,City of London Police,City of London Police,-0.113767,51.517372,On or near Stone Buildings,E01000914,Camden 028B,Drugs,,
,2012-02,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-02,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-02,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-02,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-02,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Anti-social behaviour,,
,2012-02,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-02,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Anti-social behaviour,,
08a8defbf44cae82fbb1273cde95f54c71dbf736cb3949a486c7ecdedb9e267a,2012-02,City of London Police,City of London Police,-0.095914,51.520348,On or near Beech Street,E01000001,City of London 001A,Criminal damage and arson,,
a96355cc1da057e50caaaf770f79991805cd4e35d0365c4beacaff52ad8c6e10,2012-02,City of London Police,City of London Police,-0.097223,51.515225,On or near St Martin'S Le Grand,E01000001,City of London 001A,Drugs,Offender fined,
d978efdbdb61c71761242b05ef8133193a5d734e3c2f024ce28dd107cc966d2e,2012-02,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Offender given suspended prison sentence,
389558af38071d8a2336ec853c353c9b26b2fe497d4074f546e5b312f210f159,2012-02,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
fed1da3ef46a0dc86fa4f76c0dfa806192926eaf18cc096a8d8e5c89426761e3,2012-02,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
bbd9acf039bf18948d352762ec8b749b93ab74dc8b4217dacd63fd73954122b2,2012-02,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Offender sent to prison,
4b54771c88b502f7c0c642ffd6258a89547181a66a32273dca62c2a6cd792bfe,2012-02,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,,
66c6b5538083cbab82704dd340904e477b86950eac8d50b1218cbe6b866bf1c6,2012-02,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,,
ca8caa5f319354a316da1389602cc8f6fadaf9ccb017f64414051881d416102b,2012-02,City of London Police,City of London Police,-0.095892,51.516391,On or near Noble Street,E01000001,City of London 001A,Other theft,,
