Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
afb0c03486066544f31c2a8807250c6dcb52833cdafe1e815f013b3556277955,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b603383cbda6fc67c6adc62c2e1b85255206c63428e39f93d523c4fc4f9a0ab5,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c784be1a94bf70f2a367b48dafffdbfbff0bfdb6b5552b1aab31939d7ed2e6a7,2013-09,City of London Police,City of London Police,,,No location,,,Offender given a caution
0cec554b3588feeffa70ecd046142c2dc7725af3edf62e63b0d1126cb8084ef2,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7c44dcba6f5be53c6593cf4feb62d5e3273d5302f91ffadb4f390fa4afedf66e,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7d5c9c09f214f6f8fcfe08aeff1115baae2d8862b96e6b0bee34cf9e366419c2,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
17e6a0cf28709eb7bc505162abc4bc5c5a9d9d00280743e1068e79899d7710a8,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
0394825664d7c656f1fde149761c52386d62a1503eda940e8bf478ecb4d5a120,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7acc73bc7c734847f15a9168cf5d52b67e9efc0cc42bee59ef0ebc393f5b8331,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
a9c539947411b045d3facbaca3229afdd543033871b2261cbce51815004a87db,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
90109a0b7de51b9494a55a593e76ceccba765347161b1f2c28320a4fba47788d,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
be5179fd735682c240c1391ae3332dc8a71c9c520957bf52d5a4c0ab41f48fff,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
cd829296ebc94ce857c0abe908e2eb068d651f136c90207e2d9a2344f7067025,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
f00d98e0433b32912d00b9c00c755aee7064b18773baf8c95c486be289ce5b1b,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
3b00ad632a115ded2d442f19f3f33b276752a4a519215af275b406d5409742fe,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
3401c624f5ebcc3bb3e38e38e8c97cd1024ded19658300bdc25900e23f2f2db1,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
986bfcf4eb7374bb80119e6e93eca7266c7e924b6646f20f4c85d4b27a506be1,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
a0f430f18ebaab502d8b89047abfc09e1b89556c3fd194bc590d6f82605fed4a,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8ba37602ba21ec5d0c9351dae07893674249756de93891bb5dcd58e31ac62c5b,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
169f70bff58b2140bb6bd0fcf82974b010ce05f0cfd1c2945828a0c15b8d2211,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
98b8533f8126cd803602b36ae4f9ec914614466dfb093aae9dc65cfa576f43e3,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2fecb1aebb014e96870192afeb8d4c8898871d9cc13d9b687a5b8c5aa1f5b182,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
71c98f61703d3390be4faa833dd2313018429a1c95a62bd9de762152a308e988,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ffa14fc46ac07d8e83b466cb31cf6593ce1b8a1e1a591dbdb83ac2e3fff108a4,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
db7b35cd105aaab0ee675561be00d7be65fb77ef2271da529d087a772dc22d57,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d9a11fd2310afecb1d5b79a6e36e5574fd479e81f00c30ab857a96c2948f9a42,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7f228ebdaa56750fbf65ef798fa6876f15ec997a55d82677602cb626cbcdc5e0,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8d6d1f4af63be038e75acbf30f5deb1e6e1245a26cbbae47f420ac02b49930fb,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c0f924945fe84c2d236c5a90712b4e37d6657f005a4c3b1fbdd131f76178163b,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
982e0a3a74fea43ccf9822587a0f79c68c3b42d5fb33a76732a818950e12529d,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5090ed928a23881c9f548cb7ac8586dea4960c19e1b41ac31b409802aa7afa9a,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9fcb087cbafe33923b6e4616588cbd773c60746c57272a9baf9e2ca91ef26607,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b4b1b4f73ed24d190a25a74e7e28d629308874dffa0939e260ac9612843bd665,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
09cf5ea1f9e9e6c53a53a99a565f4f60d6be622924e2353391d938cee6e1fe16,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9afa1d4e711d37611f14a7e12183bd3994488ffcdb9c47a6e7ec470a946532a2,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
fa371b0243d6c9d54f00cca90c527aaf7c9c682a628511e2939fddc552288efd,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ade40492aa613673242f1c4591744c1dbc131fceae1369bfd3b829bd73ed6138,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e6475f87f31a807e170df44b41d0eadf20a0b087a78e3adf43c8aa52678b231f,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
bba46ba5f22eb189c9f6011e1d28143e6bb648c40081fe2db90cf3320a54c040,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
cee3c7637edc2595d6d93a6419e3de7a687cfe0e3730f20169b7948513052b86,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5ca1ea84d4f64cf071474d87208adae8a506e12d09512068e1245c7252780fb3,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
4c4d95e132bd18384a7a4358e87facb069f15a8d91ce6e63b9bcdb5567baf8ea,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
26c0a0506752ab9f0df9afffe19a533aa0e6849e46f181be285a4fb517d1770e,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
54af91b5729450e08d5a4573bc08181dc6aad97c293d5d9668ca00182435fbe4,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ebc284179e86669722f986c268e497b19e842348b58beac3db6a176d116ec13f,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e26225067ae83823955e07856632dc1e4832fde503d1733b004ad48e5cbb5daa,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
962f00a028bf6e4be737bb0ec519d6cd1e4da13734858b77611de090d684a285,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9f612d73785cea4847d28623ba93210ae9af3c1fe094f5cf2f860cf7c4a4778d,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
767d29310517b3c786271bb4525073449672f0cfa3d47a645c1b65460936c151,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
