Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
61167b77fbc54f0b25cc2a0861879af780a497fd32790af5346491bdc3e4b1ed,2015-01,City of London Police,City of London Police,-0.086051,51.513569,On or near FINCH LANE,E01032739,City of London 001F,Offender given a drugs possession warning
ed96ebe812ebf29ad361e259d0a558b66be5d4a727fa1894fbf640b0f1420ca2,2015-01,City of London Police,City of London Police,-0.085257,51.511200,On or near TALBOT COURT,E01032739,City of London 001F,Suspect charged
3b852cc0df5d8e045bff60b2f4579edd5c6150c1b9ae99840232f7a6b9adc23d,2015-01,City of London Police,City of London Police,-0.084199,51.513394,On or near CORNHILL,E01032739,City of London 001F,Local resolution
0eca67382e9e9dac691af7da1737962809a3673c6d74475d951d8528ac7c43ab,2015-01,City of London Police,City of London Police,,,No location,,,Suspect charged
3af2cd8aae22236209d04fdd0bccc6f0e3fa944029deefbed72c0b9eb65932fb,2015-01,City of London Police,City of London Police,-0.086278,51.509876,On or near FISH STREET HILL,E01032739,City of London 001F,Suspect charged
4e5b4aac038a730cfc02b439ce6cbad68f006db2e933a03a285fcb9f3bcfbe81,2015-01,City of London Police,City of London Police,-0.079607,51.515657,On or near ST MARY AXE,E01000005,City of London 001E,Investigation complete; no suspect identified
dcb37d0033b6b29b6a0ef03471098104c7ebea1840a842713f7e411c321f7ea2,2015-01,City of London Police,City of London Police,-0.104281,51.516032,On or near BEAR ALLEY,E01032740,City of London 001G,Offender given a drugs possession warning
e17eaa79cd23ba9a3bfa6df23120c8466372550c85b6fc4ade84e37ebdaa1761,2015-01,City of London Police,City of London Police,-0.102412,51.517297,On or near COCK LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
f482bbf42e8e4bdc1fa93db71730071cc2dfffdb950e1ba763e734d8713e7005,2015-01,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Formal action is not in the public interest
c8c8bece18d703f70a3de5ca534aa64602840966d70ca81dfb7246e0e93b753f,2015-01,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Investigation complete; no suspect identified
dede284fd78746f39f8c50582697f642284efe369c313b93da7a8a520b6d41cd,2015-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d6111085e39b21e86a5072d661c8cdbb9184eddf0f12d251a3028288d8591de1,2015-01,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Offender given a caution
0eb4329b1e71052c00bb9ad36897466236b809a90a330bc24b1329bf28b12692,2015-01,City of London Police,City of London Police,-0.104494,51.509848,On or near A201,E01032739,City of London 001F,Offender given a caution
9b5f8582dd08af4761d9a3c6cdc5b3ff6d5790b127683b1f574c5e3bb3bd4bdc,2015-01,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Suspect charged
51d73bc811834c43399b8b88196c616a837a99f785a0c64a718d58eed37b9ab3,2015-01,City of London Police,City of London Police,-0.096561,51.514513,On or near CHEAPSIDE,E01032739,City of London 001F,Suspect charged
0c1376c5b8f67a956d641dd7fb1a8452b64ef600ec9700181482d0185b1e6d48,2015-01,City of London Police,City of London Police,-0.083417,51.513148,On or near WHITTINGTON AVENUE,E01032739,City of London 001F,Suspect charged
7aaf68381d669913389489d37dd77009805782c10e00d22c838363740497467d,2015-01,City of London Police,City of London Police,-0.086728,51.510477,On or near KING WILLIAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
694ec2ec3286f744c3a022169c559a72564917980aef5470abf316e9373f01c8,2015-01,City of London Police,City of London Police,-0.091732,51.521080,On or near Nightclub,E01002704,Islington 023D,Offender given a drugs possession warning
7b60c12598256ae80d2aa81ee92a7e388a37e8615e6e4ccd2e4156510f37fd60,2015-01,City of London Police,City of London Police,-0.104494,51.509848,On or near A201,E01032739,City of London 001F,Offender given a drugs possession warning
b58773d94a92141e69ad96659f6bb666a59a32efd27a410941b8feadef19f135,2015-01,City of London Police,City of London Police,-0.077300,51.512607,On or near CARLISLE AVENUE,E01032739,City of London 001F,Offender given a drugs possession warning
d86d16577a2eac195eb0b9cbf321d1e72992685c2c0fbfe599ac9b99d0dd99c0,2015-01,City of London Police,City of London Police,-0.089040,51.512745,On or near MANSION HOUSE PLACE,E01032739,City of London 001F,Investigation complete; no suspect identified
577e398866805db61efd16b03a1e06f613e7637dfe38524a5a6131434cc89753,2015-01,City of London Police,City of London Police,-0.100884,51.516966,On or near Hospital,E01032740,City of London 001G,Investigation complete; no suspect identified
5f049a22c9c30b263a0e49dee939917862509433f1243247855208ba49772e6a,2015-01,City of London Police,City of London Police,-0.093933,51.519812,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Unable to prosecute suspect
ca406ebee185106d0a7e2695ce59f282bbfd6e38b5284b4fc50ae0a77e03db8a,2015-01,City of London Police,City of London Police,-0.092865,51.510182,On or near Parking Area,E01032739,City of London 001F,Suspect charged
ff0037326d47e0f720d6ffaa480a87c489c8389188ff7c08e5e90ca12fe98a75,2015-01,City of London Police,City of London Police,-0.096385,51.510787,On or near GARDNERS LANE,E01032739,City of London 001F,Unable to prosecute suspect
501cb4d26d5caca517c4d362a2e109454fc691088ccb8d00425458b000ecddee,2015-01,City of London Police,City of London Police,-0.104494,51.509848,On or near A201,E01032739,City of London 001F,Suspect charged
432c2192040b7e3eaa5cb83e46bb86f3d8d135ac89306c4de804908635ca8fe6,2015-01,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Offender given a caution
